sentence	label
sheer dumbness 	0
like the chilled breath of oral storytelling frozen onto film 	1
every conceivable mistake 	0
a painful elegy and 	0
fascination , and 	1
mediocre 	0
riveting performances 	1
one whose lessons are well worth revisiting as many times as possible 	1
abysmally pathetic 	0
to escape from director mark romanek 's self-conscious scrutiny 	0
by a bravura performance 	1
the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process . 	1
evokes the style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's `` heist '' so much fun 	1
impeccable comic timing , raffish charm and piercing intellect 	1
by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) 	1
but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . 	1
his subject justice 	1
tumbleweeds blowing through the empty theaters 	0
is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year 	0
addition to gluing you to the edge of your seat 	1
is n't particularly funny 	0
once overly old-fashioned in its sudsy plotting 	0
sounds whiny and defensive 	0
appreciate 	1
a first-class road movie that proves you can run away from home , but your ego 	1
an intense indoor drama 	1
a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target . 	0
a few ear-pleasing songs on its soundtrack 	1
a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic . 	1
that it jams too many prefabricated story elements into the running time 	0
do cliches , no matter how ` inside ' they are 	0
a disappointment for a movie that should have been the ultimate imax trip 	0
at every faltering half-step of its development 	0
of a picture that was n't all that great to begin with 	0
performances of ( jack nicholson 's ) career 	1
the gorgeous piano and strings on the soundtrack 	1
tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence 	0
burnt out 	0
, the movie sinks into an abyss of clichés , depression and bad alternative music . 	0
believe it or 	1
get a cinematic postcard that 's superficial and unrealized 	0
in this tepid genre offering 	0
's not wallowing in hormonal melodrama 	0
desperate 	0
symbolic examination 	1
imagination in the soulful development of two rowdy teenagers 	1
childish things 	0
thought-provoking and stylish , if also somewhat hermetic . 	1
last 15 minutes 	1
self-discovery 	1
its worst 	0
downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness 	1
as a children 's party clown gets violently gang-raped 	0
a reprieve 	1
quite tasty and inviting all the same 	1
compelling story to tell 	1
realize there 's no place for this story to go but down 	0
produce another smash 	1
a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh 	1
watching spy 	1
i 'd rather watch them on the animal planet . 	0
own meager weight 	0
the condescending stereotypes that so often plague films dealing with the mentally ill 	0
fiendishly 	0
all round , but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons 	1
's kinda dumb . 	0
is a winning comedy that excites the imagination and tickles the funny bone 	1
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images 	0
illuminating study 	1
is an extraordinary film , not least 	1
soggy potboiler 	0
offers no new insight on the matter , nor do its characters exactly spring to life 	0
have a new favorite musical 	1
a quietly moving 	1
is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists 	1
the best advice is : ` scooby ' do n't . 	0
noteworthy characters 	1
that has nothing 	0
deserving of its critical backlash and more . 	0
kill michael myers for good : stop buying tickets to these movies 	0
is top-notch 	1
caliber 	1
delivers . 	1
inexperienced 	0
motivated by something more than franchise possibilities 	1
directions and descends into such message-mongering moralism that its good qualities are obscured 	0
, cynical 	0
is essentially a subculture , with its own rules regarding love and family , governance and hierarchy 	1
uplifting , 	1
has some of the best special effects ever 	1
is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films 	1
more than their unique residences , home movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it . 	1
that strokes the eyeballs while it evaporates like so much crypt mist in the brain 	0
too much exploitation and too little 	0
the piece works 	1
leaden and dull 	0
's hard to resist his enthusiasm , 	1
us share their enthusiasm 	1
, this somber picture reveals itself slowly , intelligently , artfully . 	1
everyone , especially movie musical fans , has been hoping for 	1
, most pleasurable expressions of pure movie love to come from an american director in years . 	1
's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow . 	0
amazing breakthrough 	1
fresh , sometimes funny , 	1
speaks volumes , 	1
silly subplots 	0
a verbal duel between two gifted performers 	1
likable story 	1
, e.t. is still a cinematic touchstone . 	1
who excels in the art of impossible disappearing/reappearing acts 	1
like some futile concoction that was developed hastily after oedekerk 	0
duvall ( also a producer ) peels layers from this character that may well not have existed on paper . 	1
good action 	1
in a vibrant and intoxicating fashion 	1
lacking substance and soul 	0
has secrets buried at the heart of his story and knows how to take time revealing them 	1
to his series of spectacular belly flops both on and off the screen 	0
a really special walk 	1
sadistic bike flick 	0
's endlessly inventive , consistently intelligent and sickeningly savage 	1
blond honeys 	1
well , it probably wo n't have you swinging from the trees hooting it 's praises 	0
ultimately it 's undone by a sloppy script 	0
unimaginable 	0
to even categorize this as a smutty guilty pleasure 	0
is a touching reflection on aging , suffering and the prospect of death . 	1
stress-reducing 	1
a stunning new young talent 	1
gushing 	1
insultingly inept and artificial examination 	0
wreaked 	0
frightening and compelling 	1
is hitting your head on the theater seat in front of you when you doze off thirty minutes into the film . 	0
you wrong on both counts 	0
while retaining an integrity and refusing to compromise his vision 	1
cinematic poetry 	1
slick production values and 	1
pulse 	0
expect from movies 	0
that it does n't give a damn 	0
haute 	0
arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . 	1
aims for poetry and ends up sounding like satire 	0
was vile enough . 	0
on mindless action 	0
the plot weaves us into a complex web . 	1
is ultimately quite unengaging . 	0
an overcooked soufflé 	1
a text to ` lick 	1
awarded mythic status in contemporary culture 	1
the inspiration of the original 	1
the only young people who possibly will enjoy it are infants ... who might be distracted by the movie 's quick movements and sounds . 	0
i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material , but 	1
the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why . 	0
-- farts , boobs , unmentionables -- 	0
best and most 	1
through vulgarities in a sequel you can refuse 	0
showing us well-thought stunts or a car chase 	1
succumbs to cliches and pat storytelling 	0
you do n't need to be a hip-hop fan to appreciate scratch 	1
tries for more . 	0
has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil 	1
terrific special effects 	1
smile-button 	1
through its otherwise comic narrative 	1
one of the smarter offerings the horror genre has produced in recent memory , even if it 's far tamer than advertised . 	1
relatively dry 	0
all hollywood fantasies 	0
one-of-a-kind near-masterpiece . 	1
humorous . 	1
it collapses like an overcooked soufflé . 	0
, the picture begins to resemble the shapeless , grasping actors ' workshop that it is . 	0
into ` an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ' 	1
toothless 	0
the station looking for a return ticket to realism 	0
that the typical hollywood disregard for historical truth and realism is at work here 	0
jim brown 	1
nervy and memorable 	1
the sheer dumbness of the plot ( other than its one good idea ) and the movie 's inescapable air of sleaziness 	0
is at once intimate and universal cinema 	1
may be why it 's so successful at lodging itself in the brain 	1
one of two things : unadulterated thrills or genuine laughs 	1
dabbles all around 	0
has a great cast and a great idea 	1
meandering , low on energy 	0
every conceivable mistake a director could make in filming opera 	0
seen in that light 	1
an insultingly inept and artificial examination 	0
if you 're down for a silly hack-and-slash flick , you can do no wrong with jason x. 	1
acumen 	1
sweet , genuine chemistry 	1
the script carries arnold ( and the viewers ) into the forbidden zone of sympathizing with terrorist motivations by presenting the `` other side of the story . '' 	1
a fascinating case study of flower-power liberation -- 	1
the script 's refusal 	0
recreation to resonate 	1
drawing on an irresistible , languid romanticism 	1
a large dose of painkillers 	0
draws you in 	1
truly magical 	1
succeeds primarily with her typical blend of unsettling atmospherics , 	1
playfully 	1
yes , but also intriguing and honorable , a worthwhile addition to a distinguished film legacy . 	1
too much like an infomercial for ram dass 's latest book aimed at the boomer 	0
peculiarly 	0
seemingly a vehicle to showcase the canadian 's inane ramblings 	0
assayas ' ambitious , sometimes beautiful adaptation of jacques chardonne 's novel . 	1
the problem with antwone fisher 	1
evokes the 19th century with a subtlety that is an object lesson in period filmmaking 	1
meandering and pointless french coming-of-age import from writer-director anne-sophie birot 	0
riveted to our seats . 	1
a film that 's flawed and brilliant in equal measure . 	1
( rises ) above its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism . 	1
`` pretty woman '' wanted to be 	1
unlikely to become a household name on the basis of his first starring vehicle 	0
old-hat 	0
the film , which very simply sets out to entertain and ends up delivering in good measure 	1
the story is predictable , the jokes are typical sandler fare , and the romance with ryder is puzzling . 	0
triple x is a double agent , and he 's one bad dude . 	1
shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative 	0
they are what makes it worth the trip to the theater . 	1
those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original 	0
that embraces its old-fashioned themes and 	1
a voice for a pop-cyber culture 	1
noir veil 	0
trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness 	1
of a brutal mid 	0
soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm . 	1
before but never so vividly 	1
glossy hollywood 	0
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and 	0
incomprehensible 	0
yawner . 	0
the brawn , but not the brains 	0
is n't funny 	0
exceptional to justify a three hour running time 	1
reminiscent 	1
go at all the wrong moments 	0
i 'll buy the soundtrack . 	1
not as outrageous or funny 	0
the waste 	0
ugly as the shabby digital photography 	0
` hip ' , ` innovative ' and ` realistic ' 	1
screams at the top of their lungs no matter what the situation 	0
precocious 	0
moodiness 	0
disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling 	0
formuliac , but fun . 	1
the history is fascinating ; the action is dazzling 	1
fan to appreciate scratch 	1
complete shambles 	0
though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia 's true emotions ... 	1
waiting for godard can be fruitful : ` in praise of love ' is the director 's epitaph for himself . 	1
been this odd , inexplicable and unpleasant 	0
universal and involving 	1
makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important 	1
still fun and enjoyable 	1
better video-game-based 	1
nicole holofcenter , the insightful writer/director responsible for this illuminating comedy 	1
who will be moved to the edge of their seats by the dynamic first act 	1
it 's easy to love robin tunney -- she 's pretty and she can act -- 	1
the writing is indifferent , and 	0
disguised as a feature film 	0
, is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema . 	1
a gangster movie with the capacity 	1
have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching . 	1
's mildly entertaining 	1
the movie is silly beyond comprehension , 	1
scuzzy underbelly 	0
vulgar dialogue and 	0
awkward 	0
itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension 	0
predictable and 	0
the plot is paper-thin 	0
is a monumental achievement in practically every facet of inept filmmaking : 	0
, the film makes up for it with a pleasing verisimilitude . 	1
exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie 	0
nemesis 	0
roman polanski 's autobiographical gesture at redemption is better than ` shindler 's list ' - it is more than merely a holocaust movie 	1
not exactly assured in its execution 	0
solidly constructed , entertaining thriller 	1
directed , barely 	0
film ' in the worst sense of the expression 	0
this is one of the best-sustained ideas i have ever seen on the screen . 	1
suffered through the horrible pains of a death 	0
the campy results make mel brooks ' borscht belt schtick look sophisticated . 	1
he 's back in form , with an astoundingly rich film 	1
kieran culkin a pitch-perfect holden 	1
sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing 	0
there 's much to recommend the film . 	1
what a reckless squandering 	0
aging , suffering and the prospect of death 	0
has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances . 	1
is told as the truth 	1
drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth . 	1
, action-packed chiller 	1
disappointing in comparison to other recent war movies ... or any other john woo flick for that matter 	0
go to the u.n. and ask permission for a preemptive strike 	0
presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years 	1
a pitch-perfect holden 	1
of humor , verve and fun 	1
this thing works on no level whatsoever for me . 	0
never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three . 	0
creepy stories 	1
offensive and redundant 	0
what saves it ... and makes it 	1
you really want to understand what this story is really all about 	1
a personal low for everyone 	0
warmth 	1
makes your teeth hurt 	0
at the mercy of its inventiveness 	0
, i assign one bright shining star to roberto benigni 's pinocchio -- but i guarantee that no wise men will be following after it . 	0
filmmakers david weissman and bill weber 	1
nasty aftertaste 	0
it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up . 	1
's hard to imagine another director ever making his wife look so bad in a major movie 	0
clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up . 	1
beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers 	1
were hailed as the works of an artist . 	1
dahmer resorts to standard slasher flick 	0
it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken . 	0
's an entertaining and informative documentary . 	1
aficionados of the whodunit wo n't be disappointed 	1
gets sillier , not scarier , 	0
make several runs to the concession stand and/or restroom and not 	0
with the same sort of good-natured fun found in films like tremors 	1
to huston 's revelatory performance 	1
on both suspense and payoff 	1
climactic setpiece 	1
holds you in rapt attention from 	1
works its magic with such exuberance and passion 	1
are all in the performances , from foreman 's barking-mad taylor to thewlis 's smoothly sinister freddie and bettany/mcdowell 's hard-eyed gangster 	1
broad streaks of common sense emerge with unimpeachable clarity . 	1
able to pull it back on course 	1
solemn pretension 	0
manipulative and as bland as wonder bread dipped in milk 	0
stoked 	1
developed 	1
time out offers an exploration that is more accurate than anything i have seen in an american film . 	1
safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven . 	1
with pat storylines , precious circumstances and beautiful stars 	1
remain interested , or at least conscious 	0
is a tribute 	1
is awful 	0
movie gauge 	1
animation back 30 years , 	0
imposter makes a better short story than it does a film 	0
entertain or inspire its viewers 	1
of obnoxious 	0
forces you to ponder anew what a movie can be 	1
surrounded by open windows 	1
is even lazier and far less enjoyable 	0
really is a shame that more wo n't get an opportunity to embrace small , sweet ` evelyn . ' 	1
avary seems to care about 	1
screenwriting cliches that sink it faster than a leaky freighter 	0
love liza 's 	1
make a gorgeous pair ... 	1
... cagney 's ` top of the world ' has been replaced by the bottom of the barrel . 	0
strangely impersonal and abstract 	0
a beautiful film , 	1
opening up ' the play more has partly closed it down . 	0
'll be a power outage during your screening so you can get your money back 	0
as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking 	1
too harsh 	0
smeary and blurry 	0
fashioned an absorbing look at provincial bourgeois french society 	1
only belly laughs 	1
open windows 	1
by an adult who 's apparently been forced by his kids to watch too many barney videos 	0
just about the best straight-up 	1
it 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex . 	0
style and 	1
petter næss ' delicate , clever direction ... and a wonderful , imaginative script 	1
infinitely wittier version 	1
ai n't art , 	0
while scorsese 's bold images and generally smart casting ensure that `` gangs '' is never lethargic 	1
lush and beautifully photographed ( somebody suggested the stills might make a nice coffee table book ) , 	1
poetic force and buoyant feeling 	1
worthy 	1
has made a film so unabashedly hopeful that it actually makes the heart soar 	1
enough moments to keep it entertaining 	1
resorting to camp or parody 	0
those unassuming films that sneaks up on you and stays with you long after you have left the theater 	1
poo-poo jokes are ` edgy 	0
the end sum of all fears morphs into a mundane '70s disaster flick . 	0
psychotic 	0
the first 2/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ... 	1
the characters , cast in impossibly contrived situations 	0
rare combination 	1
represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy . 	0
to the cadence of a depressed fifteen-year-old 's suicidal poetry 	0
a simple tale 	1
of emotional blandness 	0
hate the feeling of having been slimed in the name of high art . 	0
hard pressed to succumb to the call of the wild 	0
, duvall ( also a producer ) peels layers from this character that may well not have existed on paper . 	1
a film that comes along every day . 	0
been there , done that , liked it much better 	0
( there 's ) quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin . 	1
handsome and sophisticated approach to the workplace romantic comedy . 	1
of the ya-ya sisterhood 	1
to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , 	1
be pleased 	1
is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized 	1
the hail of bullets , none of which ever seem to hit 	0
more outre aspects 	1
's sweet , funny , charming , and completely delightful . 	1
is n't a very involving one 	0
sell us on this twisted love story 	1
comes not from any cinematic razzle-dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting . 	1
most audacious , outrageous , 	1
a bad blend 	0
by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot 	0
funny , 	1
third time 's the charm 	1
with bogus profundities 	0
it 's a setup so easy it borders on facile , but 	0
a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv 's big brother . 	1
grace to call for prevention rather than to place blame , making it one of the best war movies ever made 	1
a simple message 	1
sharp as the original 	1
wise enough 	1
of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man 	1
'll forget about it by monday , though 	0
if only because it accepts nasty behavior and severe flaws as part of the human condition 	0
works more often than it does n't . 	1
, you should be able to find better entertainment . 	0
the ability to mesmerize , astonish and entertain 	1
does leblanc make one spectacularly ugly-looking broad , but he appears miserable throughout as he swaggers through his scenes . 	0
formulaic to the 51st power , more like . 	0
: it 's not scary in the slightest . 	0
wannabe film -- without the vital comic ingredient of the hilarious writer-director himself 	0
is raised a few notches above kiddie fantasy pablum by allen 's astringent wit 	1
assured and stylish 	1
original and highly cerebral examination 	1
predominantly amateur 	0
while it evaporates like so much crypt mist in the brain 	0
i pledge allegiance to cagney and lacey . 	1
full of detail 	1
the slightly flawed ( and fairly unbelievable ) finale 	0
devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable 	1
to be compelling , amusing and unsettling at the same time 	1
where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks 	0
with style and empathy 	1
callow pretension 	0
nutty cliches and far too much dialogue 	0
a solid formula 	1
seem so impersonal or even shallow 	0
sophisticated in the worst way 	0
as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny 	1
no way original 	0
besotted and obvious 	0
may be as history 	1
flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , 	1
the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me . 	1
knows how to inflate the mundane into the scarifying , 	1
recommend waiting for dvd and just skipping straight to her scenes 	0
that really , really , really good things can come in enormous packages 	1
get you 	1
like an extreme action-packed film 	1
slap 	0
marinated in clichés and mawkish dialogue . 	0
must for fans of british cinema , if only because so many titans of the industry are along for the ride . 	1
a sad aristocrat in tattered finery 	0
ca n't say it 's on par with the first one 	0
inventive moments 	1
more irresistibly than in ` baran 	1
entertainingly presented 	1
a breezy blend 	1
were more repulsive than the first 30 or 40 minutes 	0
the wonderfully lush morvern callar is pure punk existentialism 	1
a torrent 	1
this a moving experience for people who have n't read the book 	1
make it the darling of many a kids-and-family-oriented cable channel 	1
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her 	1
absurdly inappropriate ` comedy ' scenes 	0
a promise nor a threat so much as wishful thinking 	0
a group of dedicated artists 	1
castro 	0
can usually be traced back to the little things 	1
whose sharp 	1
another remarkable yet shockingly little-known perspective 	1
a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales 	1
sure to ultimately disappoint the action 	0
is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition . 	0
although commentary on nachtwey is provided ... it 's the image that really tells the tale . 	1
and refined piece 	1
feeble 	0
does n't wrap the proceedings up neatly 	0
running on empty , repeating what he 's already done way too often 	0
uglier 	0
has so many flaws it would be easy for critics to shred it . 	0
to perform 	1
two tedious acts light on great scares and a good surprise ending . 	1
, this remains a film about something , one that attempts and often achieves a level of connection and concern . 	1
bogdanovich taps deep into the hearst mystique , entertainingly reenacting a historic scandal . 	1
the numerous scenes of gory mayhem 	0
as powerful rather than cloying 	1
to capture the novel 's deeper intimate resonances 	1
be remembered as one of ( witherspoon 's ) better films 	1
blazing 	1
flaws igby 	0
craven 	0
director ever making his wife look so bad in a major movie 	0
as stiff , ponderous and charmless as a mechanical apparatus 	0
, ivan is a prince of a fellow 	1
dare i say , entertaining ! 	1
the wars he shows and empathizes with the victims he reveals 	1
` realistic ' 	1
has plenty of laughs . 	1
skillful and moving 	1
made-for-tv 	0
they 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . 	0
palatable presentation 	1
never finds its tone and several scenes run too long . 	0
also does the absolute last thing we need hollywood doing to us 	0
enjoyable choice 	1
deviously adopts the guise of a modern motion picture 	1
balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem 	1
, you 'll find yourself remembering this refreshing visit to a sunshine state . 	1
no lika da accents so good 	0
the multiple stories in a vibrant and intoxicating fashion 	1
the memorable character creations 	1
tricky and satisfying 	1
the movie 's captivating details 	1
donovan ... squanders his main asset , jackie chan 	0
grand tour 	1
spirit is a visual treat , and it takes chances that are bold by studio standards , 	1
bottom tier 	0
quirky comedy 	1
to call this one an eventual cult classic would be an understatement 	1
a first-class road movie that proves you can run away from home , but your ego and 	1
told well by a master 	1
a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm . 	1
us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them 	1
look so bad in a major movie 	0
dragonfly ' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue . 	0
excitement 	1
convinced 	1
unwillingness to define his hero 's background or motivations 	0
are terribly wasted 	0
camaraderie 	1
nicolas cage is n't the first actor to lead a group of talented friends astray , and 	0
the film falters 	0
is small and shriveled 	0
dogtown is hollow , self-indulgent , and - worst of all - boring . 	0
humorless 	0
action laudable 	1
's really wrong with this ricture 	0
's pauly shore awful 	0
enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work 	1
say mean things and shoot a lot of bullets 	0
a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents 	1
goodies 	1
pay reparations to viewers 	0
brutal mid 	0
, i spy is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort . 	1
true impact 	1
obnoxious title character 	0
a college story that works even without vulgarity , sex scenes , and cussing 	1
authentic feel 	1
it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , 	1
as history 	1
flimsier with its many out-sized , out of character and logically porous action set 	0
feel like a chump 	0
war-weary marine 	0
promising 	1
the humanizing stuff that will probably sink the film for anyone who does n't think about percentages all day long 	0
a lovely , eerie film 	1
, every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel . 	1
the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) . 	0
they shovel into their mental gullets to simulate sustenance 	0
disastrous 	0
of her life with the imagery in her paintings 	1
too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises 	0
strictly a ` guy 's film ' in the worst sense of the expression . 	0
this new jangle of noise , mayhem and stupidity 	0
has n't aged a day 	1
this movie has the usual impossible stunts ... but it has just as many scenes that are lean and tough enough to fit in any modern action movie . 	1
a step further , richer and deeper 	1
lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling . 	0
the film has in kieran culkin a pitch-perfect holden . 	1
of fun 	1
plays better only for the film 's publicists or for people who take as many drugs as the film 's characters 	0
patchy 	0
thoroughly formulaic film 	0
gorgeous 	1
, it still seems endless . 	0
updated dickensian sensibility 	1
its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives 	1
stop buying tickets 	0
a rather listless amble 	0
nearly epic 	1
at the peak of their powers 	1
bitter 	0
a good film that must have baffled the folks in the marketing department 	1
jackson and co have brought back the value and respect for the term epic cinema . 	1
rather than provocative 	0
bittersweet camaraderie and history 	1
even more remarkable 	1
combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched . 	1
watchable stuff 	1
made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes . 	1
a ship as leaky 	0
reap more rewards 	1
warmth to go around , with music and laughter and 	1
fresh territory 	1
be growing 	1
have put together a bold biographical fantasia . 	1
skip the film and 	0
makes it worth checking out at theaters 	1
beyond all expectation 	1
has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing . 	1
even sexy 	1
if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film . 	1
correctly 	1
're more likely to enjoy on a computer 	0
the power of this movie is undeniable . 	1
is built on a potentially interesting idea 	1
, we do n't feel much for damon/bourne or his predicament 	0
actually has something interesting to say 	1
the transcendent performance 	1
bad '' is the operative word for `` bad company 	0
'' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams . 	1
a dead-end existence 	0
too campy to work as straight drama 	0
saddled 	0
been developed with more care 	0
might just be the biggest husband-and-wife disaster since john 	0
none of the happily-ever 	0
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar . 	1
this 90-minute postmodern voyage was more diverting and thought-provoking than i 'd expected it to be . 	1
is complex from the start -- and , refreshingly , stays that way . 	1
the stunt-hungry dimwits 	0
is a warm and well-told tale of one recent chinese immigrant 's experiences in new york city . 	1
an overstylized , puréed mélange of sex , psychology , drugs and philosophy . 	0
cheesy backdrops 	0
cedar 's 	1
combines psychological drama , sociological reflection , and high-octane thriller 	1
an ill-conceived 	0
of joyful solo performance 	1
the big summer movies 	1
the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged . 	0
's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies 	1
to create a film that 's not merely about kicking undead *** , but also about dealing with regret and , ultimately , finding redemption 	1
terry is a sort of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man . 	1
condescending 	0
it 's quite enough to lessen the overall impact the movie could have had 	0
of cinematic perfection 	1
that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field 	1
, and unforgettable characters 	1
of this emotional car-wreck 	0
overly old-fashioned 	0
hardly watchable 	0
hypnotically dull , 	0
daft by half ... but 	1
psychopathic 	0
, but the uninspired scripts , acting and direction never rise above the level of an after-school tv special . 	0
has the rare capability to soothe and break your heart with a single stroke 	1
stirs us as well 	1
canada 	1
loosely tied series 	0
the movie benefits from having a real writer plot out all of the characters ' moves and overlapping story . 	1
, naturally dramatic 	1
lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving 	1
is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . '' 	0
typical late-twenty-somethings natter 	0
toolbags botching a routine assignment in a western backwater 	0
predictable in the reassuring manner of a beautifully sung holiday carol 	1
trailer-trash 	0
